transaction_id,customer_name,phone,email,account_type,branch_state,branch_city,transaction_type,channel,transaction_amount,balance_after,transaction_date,status,narration
TXN-0001,Yakubu Musa,08059518175,yakubumusa@hotmail.com,Fixed Deposit,Ogun,Ota,Credit,USSD,₦76458,358321.33,2024-07-10,Successful,Dividend Payment
TXN-0002,Yakubu Musa,07031027616,yakubu_musa1@hotmail.com,Savings,Kaduna,Kafanchan,Transfer,Bank Branch,₦1817,506776.75,2024-03-07,Successful,Transfer to Halima Obi - Opay
TXN-0003,Yusuf Obi,07032929611,yusufobi@yahoo.com,Current,Delta,Asaba,Transfer,Mobile App,₦17514,91532.2,2024-10-06,Successful,Interbank Transfer - Access Bank
TXN-0004,Oluwaseun Okonkwo,08145666581,oluwaseun.okonkwo93@outlook.com,Savings,KADUNA,Kaduna South,Debit,POS,₦5182,147422.23,2024-02-07,Reversed,ATM Cash Withdrawal
TXN-0005,Musa Salami,08166418457,musa.salami56@outlook.com,Savings,Rivers,Eleme,Transfer,POS,₦45136,394403.86,2024-12-11,Reversed,NIP Transfer to Tosin Okonkwo
TXN-0006,Obinna Salami,08062463656,obinnasalami1@yahoo.com,Savings,DELTA,Sapele,Transfer,Bank Branch,₦125269,0,2024-06-21,Failed,Transfer to Chukwuemeka Tanko
TXN-0007,Bayo Adebayo,08024190064,bayo_adebayo76@yahoo.com,Current,KADUNA,Kaduna South,Transfer,Bank Branch,₦17580,288363.0,2024-09-28,Pending,NIP Transfer to Babatunde Adekunle
TXN-0008,Segun Adebayo,08134347962,segun.adebayo74@yahoo.com,Current,Delta,Ughelli,Credit,Bank Branch,₦193760,811098.52,2024-03-07,Successful,Freelance Income
TXN-0009,Chidi Usman,09065642290,chidi_usman30@yahoo.com,Current,RIVERS,Ikwerre,Debit,ATM,₦17021,315311.22,2024-02-06,Failed,ATM Cash Withdrawal
TXN-0010,Tosin Bello,08138112228,tosin_bello@hotmail.com,Savings,Delta,Asaba,Debit,Bank Branch,₦24629,57036.6,2024-05-21,Successful,Fuel Payment
TXN-0011,Musa Ibrahim,09098036139,musaibrahim@outlook.com,Current,Ogun,Ilaro,Credit,ATM,₦1971,359232.67,2024-08-11,Reversed,Dividend Payment
TXN-0012,Nneka Lawal,09026105295,nnekalawal49@yahoo.com,Savings,Enugu,Awgu,Transfer,Bank Branch,₦592,677657.62,2024-03-22,Successful,NIP Transfer to Ifeanyi Salami
TXN-0013,Kemi Tanko,08059160903,kemi_tanko@hotmail.com,Fixed Deposit,LAGOS,Lekki,Credit,Bank Branch,₦3828,112718.57,2024-04-26,Reversed,Salary Credit - Zenith Bank
TXN-0014,Halima Yusuf,09071582397,halima.yusuf@yahoo.com,Fixed Deposit,Delta,Asaba,Transfer,ATM,₦2411,168923.18,2024-08-16,Failed,NIP Transfer to Sade Nwosu
TXN-0015,Yusuf Adeleke,08078366881,yusuf_adeleke43@yahoo.com,Fixed Deposit,RIVERS,Obio-Akpor,Credit,Mobile App,₦77060,232692.47,2024-12-10,Pending,Freelance Income
TXN-0016,Segun Adebayo,08065125624,segunadebayo4@yahoo.com,Savings,lagos,Ikeja,Debit,POS,₦2697,425954.41,2024-12-05,Successful,Airtime Purchase - MTN
TXN-0017,Kemi Ibrahim,08075941061,kemi_ibrahim48@outlook.com,Current,Abuja,Asokoro,Credit,POS,₦1106,528079.23,2024-10-02,Successful,Salary Credit - NNPC
TXN-0018,Aisha Okonkwo,08084993377,aisha.okonkwo10@gmail.com,Savings,anambra,Awka,Transfer,POS,₦772,419526.59,2024-09-28,Successful,Interbank Transfer - Access Bank
TXN-0019,Ngozi Salami,08061947759,ngozi_salami@outlook.com,Savings,KADUNA,Igabi,Credit,USSD,₦19279,78645.55,2024-12-21,Pending,Freelance Income
TXN-0020,Babatunde Abubakar,08052426142,babatundeabubakar10@hotmail.com,Current,Ogun,Ilaro,Debit,ATM,₦27007,589330.28,2024-04-14,Successful,ATM Cash Withdrawal
TXN-0021,Ibrahim Adekunle,08068474842,ibrahim.adekunle@yahoo.com,Fixed Deposit,KANO,Gwale,Debit,ATM,₦3704,368873.25,2024-02-05,Pending,POS Payment - Chicken Republic
TXN-0022,Chukwuemeka Ibrahim,07066711031,chukwuemekaibrahim19@hotmail.com,Savings,Anambra,Onitsha,Transfer,Bank Branch,₦17868,614434.65,2024-01-01,Pending,Transfer to Amina Okafor - Opay
TXN-0023,Halima Nwofor,09028953520,halima_nwofor@yahoo.com,Current,Anambra,Nnewi,Transfer,ATM,₦3242,561835.04,2024-04-21,Successful,Transfer to Tosin Aliyu
TXN-0024,Funke Ibrahim,08032601858,funke_ibrahim@hotmail.com,Fixed Deposit,Delta,Ughelli,Transfer,POS,₦54989,211374.52,2024-09-22,Successful,NIP Transfer to Ngozi Okafor
TXN-0025,Tunde Suleiman,08139641352,tundesuleiman48@hotmail.com,Savings,Enugu,Oji River,Transfer,Mobile App,₦3703,52804.42,2024-11-17,Successful,Transfer to Yakubu Usman - Opay
TXN-0026,Blessing Yusuf,09058842368,blessing.yusuf96@gmail.com,Current,ABUJA,Gwarinpa,Credit,POS,₦75138,476665.23,2024-03-10,Successful,Transfer from Ifeanyi Tanko
TXN-0027,Chukwuemeka Okafor,08138258010,chukwuemekaokafor@outlook.com,Current,KADUNA,Kaduna South,Transfer,ATM,₦22480,648542.19,2024-05-03,Successful,Interbank Transfer - Access Bank
TXN-0028,Chinyere Aliyu,07034003965,chinyerealiyu37@yahoo.com,Savings,LAGOS,Surulere,Debit,USSD,₦19551,740143.15,2024-11-23,Successful,POS Payment - Chicken Republic
TXN-0029,Tunde Adebayo,08146494708,tunde_adebayo@yahoo.com,Fixed Deposit,enugu,Awgu,Transfer,Mobile App,₦4697,137967.58,2024-12-12,Failed,NIP Transfer to Nkechi Nwofor
TXN-0030,Ngozi Garba,09057747525,ngozigarba65@yahoo.com,Current,anambra,Nnewi,Credit,POS,₦2672,457322.44,2024-07-24,Successful,Loan Disbursement - GTBank
TXN-0031,Uche Eze,09093623635,ucheeze12@outlook.com,Current,ANAMBRA,Onitsha,Credit,POS,₦8531,71986.39,2024-06-10,Pending,Dividend Payment
TXN-0032,Chioma Adekunle,09072795277,chioma_adekunle63@outlook.com,Savings,OYO,Iseyin,Transfer,ATM,₦424739,149971.56,2024-10-11,Reversed,Transfer to Oluwaseun Lawal - Opay
TXN-0033,Uche Okonkwo,08062186801,ucheokonkwo29@gmail.com,Savings,Abuja,Asokoro,Transfer,Bank Branch,₦11242,97875.54,2024-06-25,Successful,Transfer to Oluwaseun Nwofor - Opay
TXN-0034,Chukwuemeka Tanko,08135553407,chukwuemekatanko28@hotmail.com,Savings,Lagos,Ikeja,Debit,Mobile App,₦552,87895.05,2024-04-15,Pending,POS Payment - Chicken Republic
TXN-0035,Nneka Obiora,08121065025,nneka_obiora35@hotmail.com,Fixed Deposit,kano,Dala,Transfer,POS,₦12692,282810.23,2024-11-27,Failed,Transfer to Ibrahim Usman
TXN-0036,Aisha Garba,08145330284,aisha_garba1@hotmail.com,Savings,ogun,Ijebu-Ode,Credit,USSD,₦17927,652318.77,2024-12-08,Successful,Salary Credit - Access Bank
TXN-0037,Babatunde Mohammed,09022024594,babatundemohammed32@outlook.com,Fixed Deposit,oyo,Iseyin,Debit,Mobile App,₦1006,200793.64,2024-12-09,Pending,POS Payment - Chicken Republic
TXN-0038,Adaeze Nwofor,08066874637,adaeze.nwofor@yahoo.com,Fixed Deposit,ogun,Abeokuta,Debit,ATM,₦4511,750273.12,2024-12-17,Pending,Rent Payment
TXN-0039,Zainab Nwachukwu,07013111110,zainab.nwachukwu@outlook.com,Savings,RIVERS,Port Harcourt,Transfer,ATM,₦4082,576887.25,2024-04-11,Successful,Transfer to Chidi Musa
TXN-0040,Aisha Ibrahim,09070330885,aisha.ibrahim15@outlook.com,Fixed Deposit,Lagos,Victoria Island,Credit,Mobile App,₦126461,653124.77,2024-06-13,Failed,Transfer from Damilola Suleiman
TXN-0041,Chioma Adeyemi,08068809797,chioma.adeyemi67@yahoo.com,Savings,lagos,Surulere,Debit,Mobile App,₦18814,484805.23,2024-03-28,Successful,POS Payment - Shoprite
TXN-0042,Uche Usman,09032896404,uche_usman@yahoo.com,Savings,Enugu,Oji River,Transfer,USSD,₦62101,271731.55,2024-02-04,Successful,Transfer to Obinna Ibrahim
TXN-0043,Bayo Adekunle,08083989179,bayo.adekunle@yahoo.com,Current,Oyo,Oyo,Debit,Bank Branch,₦125006,49612.68,2024-08-25,Pending,School Fees Payment
TXN-0044,Damilola Okonkwo,08036899285,damilola_okonkwo14@gmail.com,Current,lagos,Yaba,Credit,ATM,₦60751,203150.7,2024-07-12,Successful,Business Revenue
TXN-0045,Sade Salami,08020123493,sade_salami@hotmail.com,Savings,ANAMBRA,Ekwulobia,Transfer,Bank Branch,₦19106,,2024-02-12,Pending,NIP Transfer to Blessing Ogundipe
TXN-0046,Chioma Mohammed,08069641115,chioma_mohammed@outlook.com,Savings,kaduna,Zaria,Debit,Mobile App,₦2008,628224.22,2024-02-14,Pending,Fuel Payment
TXN-0047,Blessing Obi,08036774565,blessingobi@outlook.com,Fixed Deposit,Oyo,Iseyin,Transfer,POS,₦16998,55470.31,2024-10-28,Failed,Interbank Transfer - Access Bank
TXN-0048,Sade Usman,08052356519,sadeusman@outlook.com,Fixed Deposit,Lagos,Ojodu,Debit,Bank Branch,₦8072,610382.59,2024-07-29,Reversed,Bill Payment - EKEDC
TXN-0049,Biodun Adebayo,08050198085,biodunadebayo@outlook.com,Savings,kano,Fagge,Transfer,POS,₦4371,401285.66,2024-07-05,Successful,NIP Transfer to Uche Ogundipe
TXN-0050,Halima Garba,09028232751,halima_garba@gmail.com,Fixed Deposit,OYO,Iseyin,Debit,Mobile App,₦14501,375836.04,2024-10-19,Successful,Rent Payment
TXN-0051,Funke Nwosu,09064187053,funkenwosu@outlook.com,Fixed Deposit,Delta,Asaba,Credit,Mobile App,₦3344,519573.7,2024-01-11,Successful,Refund - Jumia
TXN-0052,Bayo Okafor,07038560544,bayo_okafor7@gmail.com,Savings,enugu,Awgu,Credit,POS,₦16640,128471.42,2024-02-04,Reversed,Transfer from Kemi Okonkwo
TXN-0053,Yakubu Musa,08025846139,yakubu.musa83@outlook.com,Fixed Deposit,ogun,Ota,Debit,POS,₦2500000,0,2024-08-24,Successful,POS Payment - Chicken Republic
TXN-0054,Adaeze Ibrahim,09029547109,adaezeibrahim39@gmail.com,Savings,LAGOS,Surulere,Debit,ATM,₦8554,38567.32,2024-09-18,Successful,Rent Payment
TXN-0055,Yusuf Yusuf,07015067453,yusufyusuf95@yahoo.com,Fixed Deposit,lagos,Ikeja,Transfer,POS,₦4021,428670.85,2024-04-02,Successful,Interbank Transfer - Access Bank
TXN-0056,Segun Obiora,09073579624,segun.obiora59@hotmail.com,Fixed Deposit,LAGOS,Ikeja,Debit,ATM,₦3762,322950.41,2024-11-06,Reversed,POS Payment - Chicken Republic
TXN-0057,Chinyere Adebayo,08168444534,chinyereadebayo38@yahoo.com,Fixed Deposit,ogun,Ilaro,Debit,Bank Branch,₦2267,142724.81,2024-10-09,Reversed,Fuel Payment
TXN-0058,Tosin Nwofor,07031057839,tosin_nwofor43@gmail.com,Current,Abuja,Asokoro,Credit,ATM,₦724,249807.23,2024-08-23,Pending,Business Revenue
TXN-0059,Segun Adeyemi,08050554113,segun.adeyemi@hotmail.com,Fixed Deposit,Kaduna,Kaduna South,Transfer,Mobile App,₦4863,424089.39,2024-01-03,Reversed,Interbank Transfer - Access Bank
TXN-0060,Ifeanyi Mohammed,08157516277,ifeanyi.mohammed25@hotmail.com,Fixed Deposit,Oyo,Saki,Transfer,Bank Branch,₦13177,302460.52,2024-06-20,Successful,Transfer to Chukwuemeka Nwosu
TXN-0061,Adaeze Adeyemi,07036649561,adaezeadeyemi55@yahoo.com,Current,OGUN,Ijebu-Ode,Credit,Mobile App,₦3032,433536.99,2024-07-17,Pending,Salary Credit - Dangote Group
TXN-0062,Yusuf Suleiman,08075849184,yusuf_suleiman18@gmail.com,Savings,Lagos,Victoria Island,Credit,ATM,₦3766,571036.9,2024-07-20,Successful,Business Revenue
TXN-0063,Tosin Adeleke,08143550243,tosinadeleke@hotmail.com,Savings,Ogun,Ilaro,Credit,ATM,₦1878,459263.8,2024-07-19,Successful,Dividend Payment
TXN-0064,Emeka Bello,08087802826,emeka.bello@outlook.com,Current,kano,Gwale,Credit,Mobile App,₦3574,247471.01,2024-02-21,Successful,Dividend Payment
TXN-0065,Biodun Mohammed,08024339699,biodun.mohammed3@yahoo.com,Fixed Deposit,Rivers,Port Harcourt,Credit,Bank Branch,₦6567,389614.56,2024-09-22,Failed,Transfer from Chukwuemeka Mohammed
TXN-0066,Tunde Adeyemi,08151375365,tundeadeyemi@yahoo.com,Current,KANO,Fagge,Credit,ATM,₦2054,405211.83,2024-04-15,Reversed,Refund - Jumia
TXN-0067,Ngozi Tanko,07067387213,ngozi.tanko9@yahoo.com,Savings,oyo,Iseyin,Transfer,POS,₦62223,537274.15,2024-05-03,Pending,Transfer to Blessing Mohammed
TXN-0068,Nneka Ogundipe,08141481211,nneka.ogundipe90@hotmail.com,Current,Kaduna,Kaduna North,Debit,POS,₦8802,583418.48,2024-08-16,Successful,Rent Payment
TXN-0069,Fatima Obiora,,fatima_obiora83@gmail.com,Savings,ABUJA,Wuse,Debit,Mobile App,₦19577,683864.36,2024-05-17,Successful,Rent Payment
TXN-0070,Fatima Adebayo,07014506734,fatima.adebayo48@outlook.com,Fixed Deposit,abuja,Wuse,Credit,USSD,₦15505,344244.9,2024-11-29,Pending,Dividend Payment
TXN-0071,Yusuf Eze,08030953614,yusufeze@hotmail.com,Fixed Deposit,Delta,Ughelli,Credit,Bank Branch,₦10695,67385.9,2024-03-28,Failed,Loan Disbursement - GTBank
TXN-0072,Ibrahim Nwachukwu,08023070829,ibrahim_nwachukwu@gmail.com,Savings,ABUJA,Asokoro,Transfer,POS,₦1574,550486.21,2024-10-04,Failed,Transfer to Chukwuemeka Adeleke
TXN-0073,Oluwaseun Obiora,09032150316,oluwaseun.obiora4@gmail.com,Fixed Deposit,ANAMBRA,Nnewi,Debit,POS,₦4191,26561.64,2024-10-29,Successful,ATM Cash Withdrawal
TXN-0074,Damilola Adeyemi,08057978019,damilolaadeyemi45@outlook.com,Fixed Deposit,Lagos,Victoria Island,Credit,Mobile App,₦4971,658947.89,2024-06-26,Successful,Salary Credit - NNPC
TXN-0075,Babatunde Adeyemi,08053039538,babatundeadeyemi@outlook.com,Savings,lagos,Yaba,Debit,POS,₦13798,738241.92,2024-09-24,Reversed,School Fees Payment
TXN-0076,Nkechi Salami,09076074670,nkechi.salami@outlook.com,Current,anambra,Awka,Credit,POS,₦18944,621027.01,2024-10-06,Failed,Loan Disbursement - GTBank
TXN-0077,Bayo Lawal,09078271287,bayo.lawal77@outlook.com,Savings,enugu,Oji River,Credit,POS,₦184763,352170.58,2024-03-15,Successful,Freelance Income
TXN-0078,Funke Yusuf,09093263955,funke_yusuf@gmail.com,Savings,kaduna,Kaduna North,Debit,POS,₦41409,332954.34,2024-10-10,Pending,Airtime Purchase - MTN
TXN-0079,Kayode Adebayo,09037952172,kayode.adebayo@gmail.com,Current,delta,Agbor,Debit,ATM,₦3076,445993.46,2024-04-25,Successful,Bill Payment - EKEDC
TXN-0080,Chinyere Musa,08153127891,chinyere.musa39@yahoo.com,Current,KANO,Dala,Credit,USSD,₦18474,190375.11,2024-09-22,Reversed,Business Revenue
